SAM-Road Training Log - 2026-06-25 01:58:49
Epoch 0: 166/1060, train_mask_loss=0.1158, train_topo_loss=0.1717, train_loss=0.2875
Epoch 0: 167/1060, train_mask_loss=0.1411, train_topo_loss=0.1337, train_loss=0.2748
Epoch 0: 168/1060, train_mask_loss=0.0865, train_topo_loss=0.0871, train_loss=0.1736
Epoch 0: 169/1060, train_mask_loss=0.0943, train_topo_loss=0.1574, train_loss=0.2517
Epoch 0: 170/1060, train_mask_loss=0.1244, train_topo_loss=0.1440, train_loss=0.2684
Epoch 0: 171/1060, train_mask_loss=0.1207, train_topo_loss=0.1273, train_loss=0.2480
Epoch 0: 172/1060, train_mask_loss=0.1370, train_topo_loss=0.1543, train_loss=0.2913
Epoch 0: 173/1060, train_mask_loss=0.1436, train_topo_loss=0.1329, train_loss=0.2765
Epoch 0: 174/1060, train_mask_loss=0.1257, train_topo_loss=0.1666, train_loss=0.2923
Epoch 0: 175/1060, train_mask_loss=0.1109, train_topo_loss=0.1272, train_loss=0.2381
Epoch 0: 176/1060, train_mask_loss=0.1218, train_topo_loss=0.1446, train_loss=0.2664
Epoch 0: 177/1060, train_mask_loss=0.1134, train_topo_loss=0.1250, train_loss=0.2384
Epoch 0: 178/1060, train_mask_loss=0.1114, train_topo_loss=0.1208, train_loss=0.2322
Epoch 0: 179/1060, train_mask_loss=0.1119, train_topo_loss=0.1088, train_loss=0.2206
Epoch 0: 180/1060, train_mask_loss=0.1257, train_topo_loss=0.1244, train_loss=0.2500
Epoch 0: 181/1060, train_mask_loss=0.1042, train_topo_loss=0.1182, train_loss=0.2224
Epoch 0: 182/1060, train_mask_loss=0.1066, train_topo_loss=0.1468, train_loss=0.2535
Epoch 0: 183/1060, train_mask_loss=0.0968, train_topo_loss=0.1260, train_loss=0.2228
Epoch 0: 184/1060, train_mask_loss=0.0947, train_topo_loss=0.1057, train_loss=0.2004
Epoch 0: 185/1060, train_mask_loss=0.1191, train_topo_loss=0.1363, train_loss=0.2554
Epoch 0: 186/1060, train_mask_loss=0.1034, train_topo_loss=0.1286, train_loss=0.2320
Epoch 0: 187/1060, train_mask_loss=0.1478, train_topo_loss=0.1582, train_loss=0.3060
Epoch 0: 188/1060, train_mask_loss=0.1048, train_topo_loss=0.0966, train_loss=0.2015
Epoch 0: 189/1060, train_mask_loss=0.1247, train_topo_loss=0.1510, train_loss=0.2757
Epoch 0: 190/1060, train_mask_loss=0.1063, train_topo_loss=0.1399, train_loss=0.2462
Epoch 0: 191/1060, train_mask_loss=0.1233, train_topo_loss=0.1007, train_loss=0.2239
Epoch 0: 192/1060, train_mask_loss=0.1086, train_topo_loss=0.1313, train_loss=0.2400
Epoch 0: 193/1060, train_mask_loss=0.1282, train_topo_loss=0.1070, train_loss=0.2353
Epoch 0: 194/1060, train_mask_loss=0.0940, train_topo_loss=0.0768, train_loss=0.1709
Epoch 0: 195/1060, train_mask_loss=0.1283, train_topo_loss=0.1559, train_loss=0.2842
Epoch 0: 196/1060, train_mask_loss=0.1454, train_topo_loss=0.1243, train_loss=0.2698
Epoch 0: 197/1060, train_mask_loss=0.0910, train_topo_loss=0.1245, train_loss=0.2154
Epoch 0: 198/1060, train_mask_loss=0.1198, train_topo_loss=0.1192, train_loss=0.2390
Epoch 0: 199/1060, train_mask_loss=0.1399, train_topo_loss=0.1498, train_loss=0.2897
Epoch 0: 200/1060, train_mask_loss=0.0974, train_topo_loss=0.1721, train_loss=0.2695
Epoch 0: 201/1060, train_mask_loss=0.0952, train_topo_loss=0.1063, train_loss=0.2014
Epoch 0: 202/1060, train_mask_loss=0.0953, train_topo_loss=0.1092, train_loss=0.2044
Epoch 0: 203/1060, train_mask_loss=0.1138, train_topo_loss=0.0973, train_loss=0.2111
Epoch 0: 204/1060, train_mask_loss=0.1245, train_topo_loss=0.1121, train_loss=0.2366
Epoch 0: 205/1060, train_mask_loss=0.1181, train_topo_loss=0.0940, train_loss=0.2121
Epoch 0: 206/1060, train_mask_loss=0.1000, train_topo_loss=0.1381, train_loss=0.2380
Epoch 0: 207/1060, train_mask_loss=0.1088, train_topo_loss=0.1361, train_loss=0.2449
Epoch 0: 208/1060, train_mask_loss=0.1038, train_topo_loss=0.1318, train_loss=0.2356
Epoch 0: 209/1060, train_mask_loss=0.1166, train_topo_loss=0.0922, train_loss=0.2088
Epoch 0: 210/1060, train_mask_loss=0.1155, train_topo_loss=0.1399, train_loss=0.2554
Epoch 0: 211/1060, train_mask_loss=0.1170, train_topo_loss=0.1048, train_loss=0.2219
Epoch 0: 212/1060, train_mask_loss=0.1044, train_topo_loss=0.1507, train_loss=0.2551
Epoch 0: 213/1060, train_mask_loss=0.0955, train_topo_loss=0.1490, train_loss=0.2445
Epoch 0: 214/1060, train_mask_loss=0.1122, train_topo_loss=0.2226, train_loss=0.3348
Epoch 0: 215/1060, train_mask_loss=0.1227, train_topo_loss=0.1240, train_loss=0.2467
Epoch 0: 216/1060, train_mask_loss=0.1547, train_topo_loss=0.1499, train_loss=0.3046
Epoch 0: 217/1060, train_mask_loss=0.1250, train_topo_loss=0.1337, train_loss=0.2587
Epoch 0: 218/1060, train_mask_loss=0.1096, train_topo_loss=0.1124, train_loss=0.2219
Epoch 0: 219/1060, train_mask_loss=0.1305, train_topo_loss=0.1634, train_loss=0.2939
Epoch 0: 220/1060, train_mask_loss=0.1125, train_topo_loss=0.1718, train_loss=0.2843
Epoch 0: 221/1060, train_mask_loss=0.1143, train_topo_loss=0.1365, train_loss=0.2509
Epoch 0: 222/1060, train_mask_loss=0.1225, train_topo_loss=0.1444, train_loss=0.2669
Epoch 0: 223/1060, train_mask_loss=0.0883, train_topo_loss=0.0872, train_loss=0.1756
Epoch 0: 224/1060, train_mask_loss=0.1268, train_topo_loss=0.0864, train_loss=0.2132
Epoch 0: 225/1060, train_mask_loss=0.1050, train_topo_loss=0.1055, train_loss=0.2105
Epoch 0: 226/1060, train_mask_loss=0.1262, train_topo_loss=0.0839, train_loss=0.2101
Epoch 0: 227/1060, train_mask_loss=0.1327, train_topo_loss=0.1453, train_loss=0.2780
Epoch 0: 228/1060, train_mask_loss=0.1036, train_topo_loss=0.1675, train_loss=0.2712
Epoch 0: 229/1060, train_mask_loss=0.1234, train_topo_loss=0.0717, train_loss=0.1951
Epoch 0: 230/1060, train_mask_loss=0.1135, train_topo_loss=0.1181, train_loss=0.2317
Epoch 0: 231/1060, train_mask_loss=0.1290, train_topo_loss=0.1094, train_loss=0.2384
Epoch 0: 232/1060, train_mask_loss=0.1200, train_topo_loss=0.1225, train_loss=0.2425
Epoch 0: 233/1060, train_mask_loss=0.1119, train_topo_loss=0.1034, train_loss=0.2153
Epoch 0: 234/1060, train_mask_loss=0.1273, train_topo_loss=0.1875, train_loss=0.3148
Epoch 0: 235/1060, train_mask_loss=0.0984, train_topo_loss=0.1437, train_loss=0.2421
Epoch 0: 236/1060, train_mask_loss=0.1163, train_topo_loss=0.0947, train_loss=0.2110
Epoch 0: 237/1060, train_mask_loss=0.0825, train_topo_loss=0.0718, train_loss=0.1543
Epoch 0: 238/1060, train_mask_loss=0.1069, train_topo_loss=0.1982, train_loss=0.3052
Epoch 0: 239/1060, train_mask_loss=0.1057, train_topo_loss=0.0952, train_loss=0.2009
Epoch 0: 240/1060, train_mask_loss=0.1128, train_topo_loss=0.1273, train_loss=0.2401
Epoch 0: 241/1060, train_mask_loss=0.1085, train_topo_loss=0.1599, train_loss=0.2683
Epoch 0: 242/1060, train_mask_loss=0.0947, train_topo_loss=0.0941, train_loss=0.1888
Epoch 0: 243/1060, train_mask_loss=0.0884, train_topo_loss=0.0634, train_loss=0.1519
Epoch 0: 244/1060, train_mask_loss=0.1014, train_topo_loss=0.0825, train_loss=0.1839
Epoch 0: 245/1060, train_mask_loss=0.1013, train_topo_loss=0.1044, train_loss=0.2057
Epoch 0: 246/1060, train_mask_loss=0.1008, train_topo_loss=0.0843, train_loss=0.1851
Epoch 0: 247/1060, train_mask_loss=0.1106, train_topo_loss=0.0750, train_loss=0.1856
Epoch 0: 248/1060, train_mask_loss=0.1294, train_topo_loss=0.1748, train_loss=0.3042
Epoch 0: 249/1060, train_mask_loss=0.1101, train_topo_loss=0.1082, train_loss=0.2183
Epoch 0: 250/1060, train_mask_loss=0.1081, train_topo_loss=0.1161, train_loss=0.2241
Epoch 0: 251/1060, train_mask_loss=0.1121, train_topo_loss=0.1131, train_loss=0.2252
Epoch 0: 252/1060, train_mask_loss=0.0911, train_topo_loss=0.1014, train_loss=0.1925
Epoch 0: 253/1060, train_mask_loss=0.1184, train_topo_loss=0.1519, train_loss=0.2704
Epoch 0: 254/1060, train_mask_loss=0.0916, train_topo_loss=0.1023, train_loss=0.1938
Epoch 0: 255/1060, train_mask_loss=0.0922, train_topo_loss=0.0903, train_loss=0.1825
