SAM-Road Training Log - 2026-06-13 21:01:07
Epoch 0: 91/5292, train_mask_loss=0.1511, train_topo_loss=0.1198, train_loss=0.2709
Epoch 0: 92/5292, train_mask_loss=0.1413, train_topo_loss=0.1640, train_loss=0.3053
Epoch 0: 93/5292, train_mask_loss=0.1149, train_topo_loss=0.1142, train_loss=0.2291
Epoch 0: 94/5292, train_mask_loss=0.1465, train_topo_loss=0.1565, train_loss=0.3030
Epoch 0: 95/5292, train_mask_loss=0.1372, train_topo_loss=0.1692, train_loss=0.3064
Epoch 0: 96/5292, train_mask_loss=0.1214, train_topo_loss=0.1406, train_loss=0.2620
Epoch 0: 97/5292, train_mask_loss=0.1223, train_topo_loss=0.1001, train_loss=0.2224
Epoch 0: 98/5292, train_mask_loss=0.1843, train_topo_loss=0.1532, train_loss=0.3376
Epoch 0: 99/5292, train_mask_loss=0.1349, train_topo_loss=0.1997, train_loss=0.3346
Epoch 0: 100/5292, train_mask_loss=0.1340, train_topo_loss=0.2193, train_loss=0.3533
Epoch 0: 101/5292, train_mask_loss=0.1210, train_topo_loss=0.1000, train_loss=0.2210
Epoch 0: 102/5292, train_mask_loss=0.1383, train_topo_loss=0.1664, train_loss=0.3046
Epoch 0: 103/5292, train_mask_loss=0.1471, train_topo_loss=0.1665, train_loss=0.3136
Epoch 0: 104/5292, train_mask_loss=0.1463, train_topo_loss=0.1092, train_loss=0.2555
Epoch 0: 105/5292, train_mask_loss=0.1693, train_topo_loss=0.1673, train_loss=0.3366
Epoch 0: 106/5292, train_mask_loss=0.1269, train_topo_loss=0.1334, train_loss=0.2603
Epoch 0: 107/5292, train_mask_loss=0.1428, train_topo_loss=0.1136, train_loss=0.2564
Epoch 0: 108/5292, train_mask_loss=0.1646, train_topo_loss=0.1777, train_loss=0.3423
Epoch 0: 109/5292, train_mask_loss=0.1271, train_topo_loss=0.1704, train_loss=0.2974
Epoch 0: 110/5292, train_mask_loss=0.1367, train_topo_loss=0.1568, train_loss=0.2935
Epoch 0: 111/5292, train_mask_loss=0.1421, train_topo_loss=0.1759, train_loss=0.3181
Epoch 0: 112/5292, train_mask_loss=0.1171, train_topo_loss=0.1457, train_loss=0.2628
Epoch 0: 113/5292, train_mask_loss=0.1401, train_topo_loss=0.1580, train_loss=0.2981
Epoch 0: 114/5292, train_mask_loss=0.1260, train_topo_loss=0.1127, train_loss=0.2386
Epoch 0: 115/5292, train_mask_loss=0.1374, train_topo_loss=0.1548, train_loss=0.2922
Epoch 0: 116/5292, train_mask_loss=0.1124, train_topo_loss=0.1740, train_loss=0.2864
Epoch 0: 117/5292, train_mask_loss=0.1273, train_topo_loss=0.1427, train_loss=0.2701
Epoch 0: 118/5292, train_mask_loss=0.1098, train_topo_loss=0.1348, train_loss=0.2446
Epoch 0: 119/5292, train_mask_loss=0.1727, train_topo_loss=0.1496, train_loss=0.3223
Epoch 0: 120/5292, train_mask_loss=0.1597, train_topo_loss=0.1560, train_loss=0.3156
Epoch 0: 121/5292, train_mask_loss=0.1555, train_topo_loss=0.2017, train_loss=0.3572
Epoch 0: 122/5292, train_mask_loss=0.1275, train_topo_loss=0.1679, train_loss=0.2954
Epoch 0: 123/5292, train_mask_loss=0.1120, train_topo_loss=0.0907, train_loss=0.2026
Epoch 0: 124/5292, train_mask_loss=0.1374, train_topo_loss=0.2038, train_loss=0.3412
Epoch 0: 125/5292, train_mask_loss=0.1447, train_topo_loss=0.1845, train_loss=0.3293
